Transcription Factor Family	Gene Symbol	Gene Name	Also Known As	Source Material for Membership
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG11695			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG11696			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG11902			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG11906			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12054			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12071			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12219		BEST:LD26135	(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12236			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12299			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12391			(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12605			(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12744			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12769			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG12942			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG13123			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG13287			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG13775			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG14050		EG:BACH48C10.1	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG14441			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG14655			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG14667			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG14710			(Krystel and Ayyanathan, 2013)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG14711			(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG15073			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG15269		BG:DS04929.3	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG15336			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG15435			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG15514			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG15710			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG16779			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG16863		BG:DS00797.6	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17186			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17328		BG:DS02740.8, DS02740.8	(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17359			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17361			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17385			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17568			(Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17612			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17801			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17803			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17806			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG17829		EG:115C2.6	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG18011			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG18262			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG18265			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG18476			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG18764			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG30020		p190	(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG30431			(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG31224			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG31365			(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG31388			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG31441			(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG31612			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG32121			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG32767			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG33213			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG34376			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG42726			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG42741			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG43347			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG43689			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CG44002			(Krystel and Ayyanathan, 2013, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	chinmo	Chronologically inappropriate morphogenesis		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	chn	charlatan	l(2)02064	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ci	cubitus interruptus	l(4)17, ciD, CID, l(4)13, ci-D	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CkIIα-i1	CKII-α subunit interactor-1		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Clamp	Chromatin-linked adaptor for MSL proteins		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Cp190	Centrosomal protein 190kD	Rb188, DMAP190, Cen190, CP-190, Centrosomal Protein 190	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	crol	crooked legs		(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	CTCF	CTCF	dCTCF, CCCTC-binding factor	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	D19A	D19A		(Zolotarev et al., 2016, Shaman et al., 2014, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	D19B	D19B		(Zolotarev et al., 2016, Shaman et al., 2014, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	dar1	dendritic arbor reduction 1		(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	dati	datilografo	Lin29	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	dbr	debra	EP456, BcDNA:LD26519	(Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	disco	disconnected		(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	disco-r	disco-related	bae, batone	(Shaman et al., 2014)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Dlip1	Dorsal interacting protein 1	dip1	(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Dref	DNA replication-related element factor	DRE-binding factor, dDREF, DNA replication-related element-binding factor, DNA replication-related element binding factor	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	drm	drumstick	drum	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	dwg	deformed wings	Zw5, l(1)zw5, zw-5, EG:95B7.6, zeste-white 5	(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	DZIP1			(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	erm	earmuff	dFezf, dfezl	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	esg	escargot	l(2)35Ce, l(2)br43, dgl, Fusion-1, BG:DS07851.7	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	fru	fruitless	satori, sat, BTB-VI	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	gl	glass	none	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Glut4EF	Glucose transporter 4 enhancer factor	stretch, BcDNA:GH25505, stretched out, BcDNA:GM06804	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	grau	grauzone		(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ham	hamlet		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	hang	hangover	BcDNA:LD22118	(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	hb	hunchback	Rg-pbx	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	her	hermaphrodite	l(2)mat	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	hkb	huckebein	gurt, gurtelchen	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ich	ichor	ichorous	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	jim	jim	ovfc.K, ovk	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	jing	jing	1.28, l(2)01094, l(2)22F3, rhumba	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Kah	Kahuli		(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ken	ken and barbie	Ken & Barbie, okina, ok	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Klf15	Kruppel-like factor 15	Bteb2	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	klu	klumpfuss	l(3)10052, l(3)09036	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	kmg	kumgang		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Kr	Kruppel	If	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Kr-h1	Kruppel homolog 1	Kr-h, Pow, Passion of white, l(2)10642	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	l(3)neo38	lethal (3) neo38		(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Lime	Linking immunity and metabolism		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	lmd	lame duck	minc, gfl, gleeful, myoblasts incompetent	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	lola	longitudinals lacking	eyeful, longitudinal lacking, l(2)s3697, btb, misguided	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	luna	luna	KLF, lincRNA.284	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	M1BP	Motif 1 Binding Protein		(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	mamo	maternal gene required for meiosis	lincRNA.990	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	MBD-R2	MBD-R2	dMBD-R2	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Meics	Meiotic central spindle	zinc-finger-motif-protein	(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	MESR4	Misexpression suppressor of ras 4	EP0386	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	mld	molting defective	DTS-3, l(3)3DTS	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	MTA1-like	Metastasis associated 1-like	dMTA1-like, MTA-like, MTA, MTA1	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	MTF-1	Metal response element-binding Transcription Factor-1	dMTF-1, metal responsive transcription factor	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	nerfin-1	nervous fingers 1	Nerfin	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	nerfin-2	nervous fingers 2		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Neu2	Neuroectoderm-expressed 2		(Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Nnk	Nicknack		(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	noc	no ocelli	l(2)35Ba, l(2)br22, nocA, br22, BG:DS04641.1	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	nom	numerous disordered muscles		(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Oaz	O/E-associated zinc finger protein	l(2)03563, Dm_2R:42259	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	odd	odd skipped	l(2)01863	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Odj	Oddjob		(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	opa	odd paired		(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Opbp	Optix-binding protein	Obp	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ouib	ouija board		(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ovo	ovo	svb, shavenbaby, shaven baby, ovoD, ovo/svb	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	pad	poils au dos		(Zolotarev et al., 2016, Shaman et al., 2014, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Paris	Parkin Interacting Substrate		(Zolotarev et al., 2016, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	peb	pebbled	hnt, Hindsight, EP55	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	pho	pleiohomeotic	l(4)29, YY1, polyhomeotic, Pleohomeotic, l(4)BU-2	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	phol	pleiohomeotic like	Pho-like	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Phs	Phaser		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	pita	pita	spdk	(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Plzf	Promyelocytic leukemia zinc finger		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Prdm13	PR/SET domain 13		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	prg	piragua	fu2	(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	pzg	putzig	Z4, p160, Pzg/Z4	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ranshi	ranshi		(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	rgr	regular		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	rn	rotund	roe, roughened eye, P5.3, tod, tot	(Shaman et al., 2014)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	salm	spalt major	sal, spalt, l(2)03602	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	salr	spalt-related	spalt, sal, sal-r	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	scrt	scratch	lincRNA.S4061	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	sens	senseless	Ly, Sensless, sense, sen	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	sens-2	senseless-2	sens2	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	seq	sequoia	l(2)vr5, l(2)49Fc, vr5	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	shn	schnurri	quo, l(2)04738, EP2359	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	sna	snail	Sco, l(2)br28, l(2)35Db, l(2)br29, br29	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	sob	sister of odd and bowl		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Sp1	Sp1	D-Sp1	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Spps	Sp1-like factor for pairing sensitive-silencing		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	sqz	squeeze	l(3)02102	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	sr	stripe		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Sry-β	Serendipity β	sryβ, sry β	(Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Sry-δ	Serendipity δ	sryδ, serendipity delta, EH8, sry δ, sry	(Krystel and Ayyanathan, 2013, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ssp	sunspot		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	su(Hw)	suppressor of Hairy wing	suHw	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	sug	sugarbabe		(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	tef	teflon	l(2)k15914	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	term	terminus	ter	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	tio	tiptop		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	topi	matotopetli		(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	trem	trade embargo		(Zolotarev et al., 2016, Pfreundt et al., 2010, Chung et al., 2002)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Trl	Trithorax-like	GAF, GAGA, GAGA factor, Nc70F, GAGA-factor	(Shaman et al., 2014)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	tsh	teashirt	ae	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ttk	tramtrack	Ttk69, oversensitive, Tramtrack69, Ttk88, FTZ-F2	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ush	u-shaped	FOG, dFOG	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	wdn	wings down	pqp, sry-h1, pourquoi-pas	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	wek	weckle	l(2)35Ea, BG:DS09217.5	(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	wor	worniu	l(2)br35, l(2)35Da, br35, BG:DS03023.1	(Shaman et al., 2014, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Zaf1	ZAD and Architectural Function 1		(Zolotarev et al., 2016, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	zf30C	zinc finger protein 30C	l(2)k02506, C282	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	zfh1	Zn finger homeodomain 1	zfh-1, Zinc-finger homeodomain protein 1, zinc finger homeodomain 1, l(3)00865	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	zfh2	Zn finger homeodomain 2	zfh-2, zinc finger homeodomain 2	(Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	Zif	Zinc-finger protein		(Zolotarev et al., 2016, Shaman et al., 2014, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	ZIPIC	Zinc-finger protein interacting with CP190		(Shaman et al., 2014, Krystel and Ayyanathan, 2013, Pfreundt et al., 2010)
C2H2 ZINC FINGER TRANSCRIPTION FACTORS	zld	zelda	vfl, vielfaltig, EP1344	(Shaman et al., 2014, Pfreundt et al., 2010)
CBF DOMAIN TRANSCRIPTION FACTORS	Nf-YA	Nuclear factor Y-box A	dNF-YA	(Hammonds et al., 2013, Ly et al., 2013, Yoshioka et al., 2007)
CBF DOMAIN TRANSCRIPTION FACTORS	Nf-YB	Nuclear factor Y-box B	dNF-YB	(Hammonds et al., 2013, Ly et al., 2013, Yoshioka et al., 2007)
CBF DOMAIN TRANSCRIPTION FACTORS	Nf-YC	Nuclear factor Y-box C		(Hammonds et al., 2013, Yoshioka et al., 2007)
CUT HOMEOBOX TRANSCRIPTION FACTORS	ct	cut	kf, kinked-femur	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
CUT HOMEOBOX TRANSCRIPTION FACTORS	dve	defective proventriculus	l(2)01738	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
CUT HOMEOBOX TRANSCRIPTION FACTORS	onecut	onecut		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
DMRT TRANSCRIPTION FACTORS	dmrt11E	doublesex-Mab related 11E		(Pfreundt et al., 2010, Zhu et al., 2000)
DMRT TRANSCRIPTION FACTORS	dmrt93B	doublesex-Mab related 93B		(Pfreundt et al., 2010, Zhu et al., 2000)
DMRT TRANSCRIPTION FACTORS	dmrt99B	doublesex-Mab related 99B		(Pfreundt et al., 2010, Zhu et al., 2000)
DMRT TRANSCRIPTION FACTORS	dsx	doublesex	Dmdsx	(Pfreundt et al., 2010, Zhu et al., 2000)
E2F TRANSCRIPTION FACTORS	Dp	DP transcription factor	dDP, l(2)vr10, DP1	(Frolov et al., 2001, Sawado et al., 1998)
E2F TRANSCRIPTION FACTORS	E2f1	E2F transcription factor 1	E2F, dE2F1, dE2F, E(var)3-93E, drosE2F1	(Frolov et al., 2001, Sawado et al., 1998)
E2F TRANSCRIPTION FACTORS	E2f2	E2F transcription factor 2	dE2F2, E2f	(Frolov et al., 2001, Sawado et al., 1998)
ETS DOMAIN TRANSCRIPTION FACTORS	aop	anterior open	yan, pokkuri, pok, DROYANETSB, aop/yan	(Hammonds et al., 2013)
ETS DOMAIN TRANSCRIPTION FACTORS	Eip74EF	Ecdysone-induced protein 74EF	E74, E74A, E74B, ECIP, Eip74	(Hammonds et al., 2013, Chen et al., 1992)
ETS DOMAIN TRANSCRIPTION FACTORS	Ets21C	Ets at 21C	D-ets-6	(Hammonds et al., 2013, Chen et al., 1992)
ETS DOMAIN TRANSCRIPTION FACTORS	Ets65A	Ets at 65A	Ets, D-ets-3	(Hammonds et al., 2013, Chen et al., 1992)
ETS DOMAIN TRANSCRIPTION FACTORS	Ets96B	Ets96B		(Hammonds et al., 2013)
ETS DOMAIN TRANSCRIPTION FACTORS	Ets97D	Ets at 97D	D-elg, Delg, elg	(Hammonds et al., 2013, Chen et al., 1992)
